Year,Team,G,GS,CG,SHO,GF,SV,IP,H,BFP,HR,R,ER,BB,IB,SO,SH,SF,WP,HBP,BK,2B,3B,GDP,ROE,W,L,ERA,RS,PW
2005,DET,2,2,0,0,0,0,11.1,15,54,1,9,9,5,0,7,0,0,1,1,0,5,0,0,0,0,2,7.15,1.00,-0.4
2006,DET,30,30,1,1,0,0,186,187,776,21,78,75,60,1,124,2,4,5,6,1,33,4,21,5,17,9,3.63,5.63,2.6
2007,DET,32,32,1,1,0,0,201.2,181,866,20,88,82,67,3,183,3,1,17,19,2,33,2,10,9,18,6,3.66,6.12,2.1
2008,DET,33,33,1,0,0,0,201,195,880,18,119,108,87,8,163,4,6,6,14,3,39,1,14,7,11,17,4.84,4.24,-1.2
2009,DET,35,35,3,1,0,0,240,219,982,20,99,92,63,5,269,6,4,8,6,4,50,2,10,8,19,9,3.45,4.69,2.8
2010,DET,33,33,4,0,0,0,224.1,190,925,14,89,84,71,0,219,6,8,11,6,2,37,7,8,8,18,9,3.37,5.18,2.3
2011,DET,34,34,4,2,0,0,251,174,969,24,73,67,57,0,250,2,3,7,3,2,31,3,12,9,24,5,2.40,4.56,5.2
2012,DET,33,33,6,1,0,0,238.1,192,956,19,81,70,60,2,239,4,3,2,5,1,40,2,16,9,17,8,2.64,3.82,4.0
2013,DET,34,34,0,0,0,0,218.1,212,925,19,94,84,75,1,217,2,6,3,4,1,38,4,15,6,13,12,3.46,4.65,1.6
2014,DET,32,32,0,0,0,0,206,223,893,18,114,104,65,1,159,6,5,5,5,1,51,9,16,8,15,12,4.54,5.19,-1.7
2015,DET,20,20,1,1,0,0,133.1,113,535,13,56,50,32,1,113,1,6,2,3,0,20,2,7,5,5,8,3.38,3.45,0.6
2016,DET,34,34,2,0,0,0,227.2,171,903,30,81,77,57,1,254,4,7,6,8,0,35,4,8,4,16,9,3.04,3.97,3.1
